項番,シナリオ,入力,期待される出力,応答内容,YouTube URL
1,惑星についての基本情報,惑星ウドンドってどんな星ですか？,惑星ウドンドの基本情報を説明,"こんにちは！惑星ウドンドへようこそ。ウドンドは太陽系の外側に位置する、美しい青と緑の輝きを持つ惑星です。この星は穏やかな気候と豊かな自然に恵まれており、知的生命体が平和に暮らしています。大気組成は地球に似ており、重力は地球の約0.9倍です。",
2,惑星の特徴,ウドンドの特徴を教えてください,惑星の特徴を説明,"ウドンドの最大の特徴は、惑星全体を覆う巨大なクリスタルフォレストです。これらのクリスタルは夜になると柔らかな光を発し、星空と調和した幻想的な景色を作り出します。また、この惑星には重力制御技術が発達しており、空中都市が数多く存在します。",
3,挨拶,こんにちは,挨拶を返す,"こんにちは！惑星ウドンドの管理人、ウドンドです。今日も素晴らしい一日ですね。何かお手伝いできることはありますか？",
4,挨拶,おはようございます,挨拶を返す,"おはようございます！新しい一日の始まりですね。今日も惑星ウドンドについて、何でもお気軽にお尋ねください。",
5,住民について,ウドンドにはどんな住民がいますか？,住民の情報を説明,"ウドンド星には主に「ルミナ族」と呼ばれる知的生命体が暮らしています。彼らは平均身長が地球人より少し小さく、独特の発光器官を持っています。非常に友好的で、芸術と科学を愛する文化を持っており、銀河間交流にも積極的です。",
6,気候について,ウドンドの気候はどうですか？,気候情報を説明,"ウドンドの気候は一年を通じて穏やかです。平均気温は摂氏18度から24度の間で推移し、四季の変化は緩やかです。降水量も適度で、農業や居住に最適な環境となっています。極地でも極端な寒さはなく、快適に過ごせます。",
7,観光スポット,ウドンドの観光スポットを教えて,観光スポットの情報を提供,"ウドンドで最も人気のある観光スポットは「クリスタルフォレスト国立公園」です。ここでは、高さ100メートルを超える巨大なクリスタルの木々が林立し、訪れる者を魅了します。また、空中都市「エアロポリス」も必見です。重力制御技術によって浮遊する美しい都市で、最先端の建築を楽しめます。",https://www.youtube.com/watch?v=example1
8,食べ物,ウドンドの食べ物について教えて,食文化の情報を提供,"ウドンドの料理は「光合成野菜」を使った料理が中心です。これらの野菜は独特の甘みと栄養価の高さが特徴で、様々な調理法で楽しまれています。特に有名なのが「ルミナスープ」で、食べると体が内側から輝くように感じられるとされています。",
9,テクノロジー,ウドンドの技術について知りたい,技術レベルを説明,"ウドンドは銀河でも先進的な技術を持つ惑星の一つです。特に重力制御技術とエネルギー結晶技術において卓越しています。全てのエネルギーは再生可能で、環境に優しい技術が徹底されています。また、テレパシー補助デバイスによって、言語の壁を超えたコミュニケーションが可能です。",https://www.youtube.com/watch?v=example2
10,交通手段,ウドンドでの移動手段は？,交通手段を説明,"ウドンドでは主に「グラビタイザー」と呼ばれる重力制御型の個人用移動装置が使われています。空中を自由に飛行でき、最高速度は時速200キロメートルに達します。都市間の移動には「クリスタルレール」という高速輸送システムがあり、惑星のどこへでも数時間で到着できます。",
